assetNumber,customer_account,product,asset_type,device_name,manufacturer,vendor,model,model_version,serial_number,ip_address,snmp_community_string,location,owner,contracts_start_dt,contracts_end_dt,aggregated_to_,status,vendor_account_manager,contact_number,contact_email,website,service_availed,cost,cost_frequency,tags,notes,created_dt,created_by
NH0001249,VIF,Router,Hardware,VIF-083-RT,Arista,Extreme Networks,AWE-5510,,QBSC362776VO,16.213.193.219,34406s,Vancouver,Elwira Grigoryov,2023-07-26 20:05:45,2025-01-26 20:05:45,NH0001249,Active,Sarena Wyley,642-315-3718,swyleym@walmart.com,http://archive.org,After Sales Service,22044.98,One-time payment,,,2023-05-26 20:05:45,ddandekar
NH0006664,TRQ,Switch,Hardware,TRQ-083-SW,Juniper,Extreme Networks,EX4100-48P,"",0S2J62X0CSNR,40.159.119.168,9t1ads,Vancouver,Adelind Brickham,2023-10-05 02:47:36,2025-08-05 02:47:36,,Active,Charo Rimbault,870-223-7930,crimbaultn@1688.com,https://sbwire.com,Deployment Service,9308.81,Bi-Weekly,,,2023-09-05 02:47:36,ddandekar
NH0009975,VIF,Switch,Hardware,VIF-043-SW,Juniper,Extreme Networks,EX4100-48P,,7GH79U759GGP,35.122.116.196,0kpj0m,Burnaby,Sidonnie Stealfox,2023-09-22 14:53:40,2025-09-22 14:53:40,,Active,Demetris Grugerr,639-850-9130,dgrugerro@state.tx.us,http://twitter.com,After Sales Service,2637.1,Monthly,,quam turpis adipiscing lorem vitae mattis nibh,2023-09-22 14:53:40,lsule
NH0002880,ZWI,Switch,Hardware,ZWI-043-SW,Juniper,Extreme Networks,EX4100-48P,,6MF5XH811SF7,93.250.212.98,1me631,Burnaby,Lou Clemetts,2023-10-04 19:56:03,2024-06-04 19:56:03,,Active,Perle Aleksankov,785-864-3240,paleksankovp@chicagotribune.com,http://mapquest.com,Deployment Service,21822.89,One-time payment,,,2023-09-04 19:56:03,tpastoril
NH0009035,FVW,Switch,Hardware,FVW-033-SW,Juniper,Extreme Networks,EX4100-48P,"",146264Q159GO,214.231.40.248,ibxjrd,New Westminster,Nonna Kedie,2023-10-02 14:03:58,2024-12-02 14:03:58,,In-Stock,Vernice Knightley,711-810-6089,vknightleyq@wordpress.com,http://noaa.gov,After Sales Service,8863.5,Monthly,,,2023-09-02 14:03:58,ddandekar
NH0003616,XZS,Switch,Hardware,XZS-053-SW,Juniper,Extreme Networks,EX4100-48P,,275ZVET9BEXS,209.128.246.27,2ua9g0,New Westminster,Ado Pinkney,2023-09-01 01:44:52,2024-12-01 01:44:52,,Active,Gauthier Illiston,921-223-5326,gillistonr@noaa.gov,https://mozilla.org,Deployment Service,1397.28,One-time payment,,,2023-08-01 01:44:52,ddandekar
NH0009346,TRQ,Switch,Hardware,TRQ-083-SW,Cisco,Extreme Networks,SG250X-48P,"",OT8CNS611821,118.69.44.56,6e8vno,Burnaby,Kali Courtier,2023-10-04 00:46:16,2024-11-04 00:46:16,,Active,Emerson Dunleavy,606-819-2337,edunleavys@amazon.de,http://tmall.com,After Sales Service,10968.73,Annual,TRQ,,2023-09-04 00:46:16,tpastoril
NH0002756,VIF,Switch,Hardware,VIF-053-SW,Juniper,Extreme Networks,EX4100-48P,"",56J0221UT1NL,123.160.196.194,o1533h,Vancouver,Lewes Grelak,2023-08-13 10:44:32,2025-04-13 10:44:32,,Active,Mattheus Rhead,555-681-5910,mrheadt@xrea.com,http://apache.org,Deployment Service,4371.63,Annual,,,2023-08-13 10:44:32,lsule
NH0001320,TRQ,Switch,Hardware,TRQ-053-SW,Juniper,Extreme Networks,EX4100-48P,"",4VUV6GSW9767,78.235.157.224,fq27p4,Surrey,Padraic Ducker,2023-09-28 22:26:30,2025-01-28 22:26:30,,Active,Inglis Maleck,401-619-5549,imalecku@ebay.co.uk,https://cdbaby.com,After Sales Service,22499.3,One-time payment,TRQ,,2023-09-28 22:26:30,ddandekar
NH0005977,FVW,Switch,Hardware,FVW-093-SW,Juniper,Extreme Networks,EX4100-48P,,HC72BF1E731L,194.148.216.0,48hj27,Surrey,Sheelagh Parnell,2023-10-18 04:24:47,2024-05-18 04:24:47,NH0005977,Active,Tamqrah Bletso,266-908-7223,tbletsov@youku.com,https://omniture.com,Deployment Service,7799.65,One-time payment,FVW,,2023-08-18 04:24:47,tpastoril
NH0008106,FVW,Switch,Hardware,FVW-053-SW,Juniper,Extreme Networks,EX4100-48P,"",X03Y768B0YER,97.79.18.149,cy1hk7,Burnaby,Lucita McCrossan,2023-10-12 07:44:04,2024-04-12 07:44:04,,Active,Heywood O'Keaveny,842-211-1828,hokeavenyw@ovh.net,http://hexun.com,After Sales Service,16347.29,Annual,,,2023-09-12 07:44:04,ddandekar
NH0005708,XZS,Switch,Hardware,XZS-023-SW,Juniper,Extreme Networks,EX4100-48P,"",V52A84C0YXFQ,3.37.43.4,6z699f,Vancouver,Vanna Toohey,2023-09-13 14:33:53,2025-05-13 14:33:53,NH0005708,Active,Darnell Works,545-655-4465,dworksx@census.gov,http://irs.gov,After Sales Service,5472.23,One-time payment,,,2023-07-13 14:33:53,tpastoril
NH0001780,XZS,Switch,Hardware,XZS-063-SW,Juniper,Extreme Networks,EX4100-48P,,I5F7D2MM3O70,213.85.212.180,6m80v5,Surrey,Else Toman,2023-07-25 20:21:19,2025-01-25 20:21:19,,Active,Vaclav Phillpotts,471-853-9376,vphillpottsy@huffingtonpost.com,http://google.co.jp,Deployment Service,23045.31,One-time payment,,,2023-06-25 20:21:19,ddandekar
NH0002017,XZS,Switch,Hardware,XZS-093-SW,Juniper,Extreme Networks,EX4100-48P,"",H4H45AO9N8E5,157.249.59.75,bkt05k,Surrey,Myra Elmar,2023-07-27 07:53:54,2023-12-27 07:53:54,,Active,Alicia Rubert,867-528-1247,arubertz@dagondesign.com,https://1und1.de,Deployment Service,18124.59,Monthly,,suscipit a feugiat et eros vestibulum,2023-06-27 07:53:54,lsule
NH0004330,XZS,Switch,Hardware,XZS-013-SW,Juniper,Extreme Networks,EX4100-48P,,Y659O83YP3VB,226.115.156.44,o05cgx,Vancouver,Roxana Kittles,2023-09-02 13:07:44,2025-01-02 13:07:44,,Active,Godart Boscher,580-185-8003,gboscher10@opera.com,https://sphinn.com,Deployment Service,16823.89,Monthly,,,2023-09-02 13:07:44,tpastoril
NH0000177,VIF,Router,Hardware,VIF-043-RT,Juniper,Extreme Networks,MX80-AC,,F1P62R17V8DU,193.40.241.72,mn995w,Vancouver,Rebe Oran,2023-09-26 03:10:35,2025-09-26 03:10:35,,Active,Karee Mulran,802-157-6781,kmulran11@ask.com,https://wix.com,Deployment Service,2042.68,Monthly,,,2023-09-26 03:10:35,tpastoril
NH0002824,TRQ,Switch,Hardware,TRQ-013-SW,Juniper,Extreme Networks,EX4100-48P,"",VR290PP330N6,176.11.114.44,q99qrr,Surrey,Marten Gregore,2023-07-26 08:58:40,2024-12-26 08:58:40,,Active,Trevar Grief,411-530-0375,tgrief12@amazon.co.uk,http://networkadvertising.org,After Sales Service,14587.46,One-time payment,,,2023-05-26 08:58:40,lsule
NH0004038,FVW,Router,Hardware,FVW-053-RT,Juniper,Extreme Networks,MX80-AC,,2S4IC4WFM7H5,98.158.34.240,e46e57,New Westminster,Smith Hansana,2023-10-12 01:07:26,2024-02-12 01:07:26,,Maintenance,Ailbert McKinnell,609-886-4077,amckinnell13@friendfeed.com,https://alibaba.com,Deployment Service,5124.01,Annual,,,2023-10-12 01:07:26,ddandekar
NH0001974,XZS,Switch,Hardware,XZS-023-SW,Juniper,Extreme Networks,EX4100-48P,,5FZO2PF37NZ9,31.97.61.38,324091,Burnaby,Adan Rodinger,2023-08-01 06:50:59,2024-06-01 06:50:59,,Active,Opaline Spiaggia,838-549-9613,ospiaggia14@indiegogo.com,http://cocolog-nifty.com,Deployment Service,3067.53,Bi-Weekly,,,2023-07-01 06:50:59,ddandekar
NH0003576,TRQ,Switch,Hardware,TRQ-053-SW,Juniper,Extreme Networks,EX4100-48P,"",M653K7G75Q2U,220.108.3.128,95jq0s,Vancouver,Cecilius Toppas,2023-08-13 06:51:25,2025-08-13 06:51:25,NH0003576,Active,Bartolomeo Macro,902-458-6189,bmacro15@cmu.edu,https://rakuten.co.jp,Deployment Service,1007.12,Annual,,,2023-08-13 06:51:25,ddandekar
NH0006056,XZS,Router,Hardware,XZS-073-RT,Arista,Extreme Networks,AWE-5510,,Q9VO4AD3A8Q4,156.49.170.168,r87shc,Surrey,Gustie Rigden,2023-09-21 10:27:06,2024-08-21 10:27:06,,Active,Domenic Gaddesby,360-917-6594,dgaddesby16@blinklist.com,http://globo.com,Deployment Service,14243.4,One-time payment,,duis faucibus accumsan odio curabitur convallis duis consequat,2023-09-21 10:27:06,lsule
NH0009419,ZWI,Switch,Hardware,ZWI-093-SW,Juniper,Extreme Networks,EX4100-48P,"",OBT27G4I57NM,11.208.9.34,mu4x30,Surrey,Katy Strode,2023-08-24 06:34:49,2024-04-24 06:34:49,,Active,Randy Monkley,703-148-6524,rmonkley17@vimeo.com,https://purevolume.com,Deployment Service,10581.83,Annual,,lorem quisque ut erat curabitur gravida,2023-08-24 06:34:49,lsule
NH0002673,FVW,Switch,Hardware,FVW-043-SW,Cisco,Extreme Networks,SF220-24P,,6N4L9558DZTD,53.170.193.175,3hk4ie,Vancouver,Noelyn Reddan,2023-08-02 20:50:17,2023-10-02 20:50:17,,Active,Dorrie Pudan,541-801-4842,dpudan18@ocn.ne.jp,https://mapquest.com,After Sales Service,19872.97,Bi-Weekly,,,2023-06-02 20:50:17,tpastoril
NH0008486,TRQ,Switch,Hardware,TRQ-073-SW,Juniper,Extreme Networks,EX4800-48P,"",7K59S48IM592,40.245.141.176,ny6g4n,Vancouver,Allayne Shevlin,2023-10-04 08:42:09,2024-11-04 08:42:09,,Active,Moishe Tambling,392-571-9832,mtambling19@flavors.me,https://photobucket.com,After Sales Service,13367.7,Bi-Weekly,,,2023-08-04 08:42:09,ddandekar
NH0006793,TRQ,Router,Hardware,TRQ-033-RT,Juniper,Extreme Networks,MX80-AC,"",O6XNNL92NT89,20.112.102.33,i8u2vn,Vancouver,Prentiss De Lacey,2023-09-15 17:07:23,2025-03-15 17:07:23,,Active,Angelle Danihelka,384-454-5152,adanihelka1a@netscape.com,http://cnet.com,After Sales Service,23357.28,Annual,,,2023-08-15 17:07:23,ddandekar
NH0003259,ZWI,Switch,Hardware,ZWI-003-SW,Juniper,Extreme Networks,EX4100-48P,,I309E4DQ0EN8,229.129.202.190,2j1y63,New Westminster,Eddie Linnemann,2023-09-02 04:24:08,2023-12-02 04:24:08,,Active,Helyn Simion,129-168-8883,hsimion1b@webnode.com,https://people.com.cn,After Sales Service,4105.22,Annual,ZWI,,2023-09-02 04:24:08,tpastoril
NH0002296,FVW,Firewall,Hardware,FVW-073-FW,Palo Alto,Extreme Networks,PA-200,"",6Q11HK571X53,55.218.124.230,d25a7v,Vancouver,Gleda Markova,2023-10-17 05:21:36,2025-10-17 05:21:36,,Active,Delphine Dongall,802-699-3358,ddongall1c@microsoft.com,http://epa.gov,After Sales Service,3059.6,Annual,,,2023-10-17 05:21:36,ddandekar
NH0001261,TRQ,Switch,Hardware,TRQ-003-SW,Juniper,Extreme Networks,EX4100-48P,,384Q4G9KO2M7,193.57.7.173,69895u,Vancouver,Fleurette Massot,2023-09-09 01:46:34,2024-12-09 01:46:34,,Active,Agnella Karpinski,823-243-3491,akarpinski1d@diigo.com,https://multiply.com,Deployment Service,24194.11,Bi-Weekly,,,2023-09-09 01:46:34,ddandekar
NH0006041,VIF,Router,Hardware,VIF-073-RT,Juniper,Extreme Networks,MX80-AC,,ZMV5W28H3384,145.211.222.246,t296u4,New Westminster,Inna Rolin,2023-08-08 11:45:17,2024-06-08 11:45:17,,Active,Paulina Poxson,518-760-9407,ppoxson1e@cdc.gov,http://google.it,After Sales Service,2750.35,One-time payment,,,2023-06-08 11:45:17,tpastoril
NH0008220,XZS,Switch,Hardware,XZS-053-SW,Juniper,Extreme Networks,EX4100-48P,,2F2WM060248C,181.241.181.42,l828k4,Vancouver,Zandra Radage,2023-09-27 03:08:29,2024-04-27 03:08:29,,Active,Roarke Killock,363-600-2995,rkillock1f@xinhuanet.com,https://epa.gov,Deployment Service,28665.5,Annual,,,2023-08-27 03:08:29,tpastoril
NH0005340,TRQ,Switch,Hardware,TRQ-063-SW,Arista,Extreme Networks,DCS-7124S,,43T73107LJ98,173.203.156.144,0287k6,Vancouver,Blakelee Martignoni,2023-10-11 05:45:43,2024-02-11 05:45:43,,Active,Ferdy Willmore,701-893-7622,fwillmore1g@squidoo.com,http://mysql.com,Deployment Service,28387.11,Annual,,,2023-08-11 05:45:43,ddandekar
NH0009951,XZS,Router,Hardware,XZS-043-RT,Arista,Extreme Networks,AWE-5510,"",7A1Z9QA6Q8M8,122.167.249.179,i5p06s,New Westminster,Honor Crumby,2023-08-30 05:45:09,2024-06-30 05:45:09,,Active,Gisella Beckmann,913-916-9106,gbeckmann1h@myspace.com,http://shareasale.com,After Sales Service,6533.51,Monthly,,,2023-06-30 05:45:09,ddandekar
NH0001016,VIF,Router,Hardware,VIF-033-RT,Cisco,Extreme Networks,ISR 931,,EB2QJMSMIXY2,37.125.41.23,pbo956,New Westminster,Violette Melledy,2023-09-13 10:38:13,2025-06-13 10:38:13,NH0001016,Active,Jamesy Mc Ilory,869-506-2230,jmc1i@hatena.ne.jp,http://techcrunch.com,After Sales Service,3830.86,Annual,,,2023-09-13 10:38:13,tpastoril
NH0002245,TRQ,Switch,Hardware,TRQ-063-SW,Juniper,Extreme Networks,EX4100-48P,"",NBVF4WP372I5,164.34.123.36,nc6bd5,Surrey,Maddalena Rubinow,2023-10-16 14:49:21,2024-08-16 14:49:21,,Active,Jackelyn Carruthers,796-248-4387,jcarruthers1j@shinystat.com,https://networkadvertising.org,After Sales Service,8946.8,Monthly,TRQ,,2023-10-16 14:49:21,lsule
NH0007413,TRQ,Switch,Hardware,TRQ-083-SW,Juniper,Extreme Networks,EX4100-48P,,CV8326XFMD31,196.120.147.93,pbm39x,Vancouver,Yvette Stych,2023-08-10 14:08:44,2023-10-10 14:08:44,,Active,Curry Sharland,260-855-7082,csharland1k@indiegogo.com,http://patch.com,Deployment Service,22624.43,Bi-Weekly,TRQ,,2023-08-10 14:08:44,ddandekar
NH0005658,VIF,Switch,Hardware,VIF-053-SW,Cisco,Extreme Networks,CBS220-16T-2G,"",3U9KTWNDZ6WE,86.179.70.43,adc74k,New Westminster,Kerr Lowndesbrough,2023-09-25 08:17:41,2024-04-25 08:17:41,,Active,Amerigo Shakelade,594-260-5072,ashakelade1l@xing.com,https://marriott.com,Deployment Service,29359.15,One-time payment,VIF,morbi vestibulum velit id pretium iaculis diam erat,2023-07-25 08:17:41,tpastoril
NH0000951,VIF,Switch,Hardware,VIF-053-SW,Juniper,Extreme Networks,EX4100-48P,"",6PZKW8Y0V0L6,150.135.56.188,qx49hc,Vancouver,Ignacius Varran,2023-07-30 00:56:57,2025-07-30 00:56:57,,Active,Kale Drohan,495-680-0726,kdrohan1m@virginia.edu,http://usnews.com,After Sales Service,22206.73,Bi-Weekly,,montes nascetur ridiculus mus,2023-05-30 00:56:57,ddandekar
NH0006275,VIF,Not applicable,Software,Microsoft Exchange Server 2019 - Enterprise License,Microsoft,Extreme Networks,SKU 395-04604,Version 2211 (Build 15831.20208),5O2EJG30D02M,27.230.212.182,fa7ni9,New Westminster,Aaren Buney,2023-09-23 12:43:20,2025-04-23 12:43:20,NH0006275,In-Stock,Livvy Brimfield,189-172-4598,lbrimfield1n@noaa.gov,https://unesco.org,Deployment Service,7081.17,Monthly,VIF,,2023-08-23 12:43:20,tpastoril
NH0008536,FVW,Switch,Hardware,FVW-033-SW,Arista,Extreme Networks,DCS-7124S,,G98I736V9079,118.0.74.105,65xd9s,Burnaby,Jeffrey Muzzini,2023-08-17 13:16:26,2025-02-17 13:16:26,,In-Stock,Nehemiah Lippiatt,903-319-7716,nlippiatt1o@is.gd,https://bigcartel.com,After Sales Service,26565.32,One-time payment,,,2023-06-17 13:16:26,ddandekar
NH0000124,FVW,Router,Hardware,FVW-023-RT,Juniper,Extreme Networks,MX80-AC,,02Y6SML5B97H,223.77.168.76,zea119,Surrey,Filide Overland,2023-09-03 16:16:17,2024-04-03 16:16:17,NH0000124,Active,Hilde Rastall,980-254-3646,hrastall1p@ask.com,http://wunderground.com,Deployment Service,21148.68,Monthly,,,2023-07-03 16:16:17,ddandekar
NH0006622,XZS,Switch,Hardware,XZS-033-SW,Juniper,Extreme Networks,EX4100-48P,,1BTG6003659H,171.105.124.49,l036x7,Burnaby,Andreana Rawsen,2023-08-19 15:45:56,2024-12-19 15:45:56,,Active,Sterne Eard,580-999-5790,seard1q@slate.com,http://umich.edu,After Sales Service,12306.97,Bi-Weekly,,,2023-08-19 15:45:56,tpastoril
NH0000934,FVW,Switch,Hardware,FVW-013-SW,Juniper,Extreme Networks,EX4100-48P,,6758Y5Q1G9D2,22.139.88.7,xnn79x,Surrey,Gustie Eatock,2023-09-06 16:53:58,2024-04-06 16:53:58,,Active,Renado Anton,101-735-6021,ranton1r@printfriendly.com,https://ucoz.com,Deployment Service,10182.64,Monthly,,,2023-07-06 16:53:58,lsule
NH0007352,TRQ,Switch,Hardware,TRQ-053-SW,Arista,Extreme Networks,DCS-7048T-4S-F,,U22Q6UIXP54Q,59.145.149.43,74m85f,New Westminster,Barret Pigeon,2023-08-17 01:42:58,2024-12-17 01:42:58,,Active,Brittney Firks,322-277-6595,bfirks1s@buzzfeed.com,http://mlb.com,Deployment Service,16249.62,Annual,TRQ,,2023-07-17 01:42:58,ddandekar
NH0008808,VIF,Switch,Hardware,VIF-023-SW,Juniper,Extreme Networks,EX4100-48P,"",UFUOG3M60A07,163.89.110.142,7ml2a4,Burnaby,Whittaker Folland,2023-08-18 22:01:34,2024-04-18 22:01:34,,Maintenance,Bel Padson,179-997-6545,bpadson1t@tinypic.com,https://mapquest.com,After Sales Service,16310.22,Monthly,,,2023-06-18 22:01:34,tpastoril
NH0007254,FVW,AP,Hardware,FVW-013-AP,Aruba,Extreme Networks,AP635 R7J27A,,2EB52C25G0L6,152.31.110.113,qhu292,Burnaby,Davida Pavlovic,2023-08-19 19:57:44,2024-07-19 19:57:44,NH0007254,Active,Ericha Methley,773-175-8449,emethley1u@studiopress.com,https://macromedia.com,Deployment Service,20576.81,One-time payment,,,2023-07-19 19:57:44,lsule
